104,102,102,102,102,102,108,3,1,2,18,15,15,34,1,1,1,2,30,30,33
101,34,1,1,1,2,1,18,15,15,34,1,1,3,1,3,1,1,1,3,30
101,2,1,3,2,18,15,35,1,1,1,3,1,1,1,1,125,15,19,1,2
109,2,34,15,15,34,1,1,2,2,2,2,2,3,1,123,23,1,21,19,1
4,4,8,3,1,1,1,2,2,2,2,34,2,1,34,25,123,1,3,21,34
2,34,5,1,1,1,2,2,34,2,2,2,2,3,1,16,1,1,1,1,3
3,1,26,1,3,2,2,1,16,3,2,2,34,1,3,16,34,1,3,2,7
1,18,26,1,1,2,34,3,16,1,1,3,1,1,18,20,1,1,7,4,9
36,20,5,3,1,3,18,15,24,15,15,15,22,15,20,3,1,3,5,18,36
7,4,9,1,1,18,20,1,1,3,1,1,16,3,34,2,1,1,26,20,1
9,2,3,1,34,16,3,1,34,2,2,3,16,1,2,2,3,1,26,1,3
3,1,1,1,1,16,1,3,2,2,2,2,34,2,2,1,1,1,5,34,2
34,19,3,1,92,23,34,1,2,34,2,2,2,2,1,1,1,3,10,4,4
1,21,19,1,25,92,1,3,2,2,2,2,2,1,1,34,15,15,34,2,107
2,1,21,15,95,1,1,1,1,3,1,1,1,35,15,20,2,3,1,2,101
29,3,1,1,1,3,1,3,1,1,34,15,15,20,1,2,1,1,1,34,101
33,29,29,2,1,1,1,34,15,15,20,2,1,3,110,102,102,102,102,102,106
